LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,DAVID HADLEY,AL MURATSUCHI,
EL CAMINO VILLAGE,2080002A,795,385,N,1339,POLLING PLACE,89,15,71,
EL CAMINO VILLAGE,2080002A,795,385,N,,VBM PORTION,78,14,57,
EL CAMINO VILLAGE,2080002A,795,385,N,1339,TOTAL,167,29,128,
EL CAMINO VILLAGE,2080003A,796,385,N,616,POLLING PLACE,165,92,69,
EL CAMINO VILLAGE,2080003A,796,385,N,,VBM PORTION,45,26,18,
EL CAMINO VILLAGE,2080003A,796,385,N,616,TOTAL,210,118,87,
EL CAMINO VILLAGE,2080004A,797,385,N,1129,POLLING PLACE,178,71,100,
EL CAMINO VILLAGE,2080004A,797,385,N,,VBM PORTION,109,55,48,
EL CAMINO VILLAGE,2080004A,797,385,N,1129,TOTAL,287,126,148,
EL CAMINO VILLAGE,2080004B,6073,386,Y,,POLLING PLACE,,,,
EL CAMINO VILLAGE,2080004B,6073,386,Y,,VBM PORTION,,,,
EL CAMINO VILLAGE,2080004B,6073,386,Y,,TOTAL,,,,
EL CAMINO VILLAGE,2080005A,798,385,N,923,POLLING PLACE,232,102,124,
EL CAMINO VILLAGE,2080005A,798,385,N,,VBM PORTION,61,22,35,
EL CAMINO VILLAGE,2080005A,798,385,N,923,TOTAL,293,124,159,
GARDENA,2500003A,876,385,N,1018,POLLING PLACE,225,99,113,
GARDENA,2500003A,876,385,N,,VBM PORTION,90,39,49,
GARDENA,2500003A,876,385,N,1018,TOTAL,315,138,162,
GARDENA,2500010A,880,385,N,1075,POLLING PLACE,221,79,132,
GARDENA,2500010A,880,385,N,,VBM PORTION,93,34,54,
GARDENA,2500010A,880,385,N,1075,TOTAL,314,113,186,
GARDENA,2500012A,881,385,N,812,POLLING PLACE,106,32,69,
GARDENA,2500012A,881,385,N,,VBM PORTION,65,15,49,
GARDENA,2500012A,881,385,N,812,TOTAL,171,47,118,
GARDENA,2500013A,882,385,N,1363,POLLING PLACE,159,40,110,
GARDENA,2500013A,882,385,N,,VBM PORTION,97,24,67,
GARDENA,2500013A,882,385,N,1363,TOTAL,256,64,177,
GARDENA,2500016A,883,385,N,1177,POLLING PLACE,253,90,152,
GARDENA,2500016A,883,385,N,,VBM PORTION,115,36,77,
GARDENA,2500016A,883,385,N,1177,TOTAL,368,126,229,
GARDENA,2500018A,884,385,N,1253,POLLING PLACE,203,54,138,
GARDENA,2500018A,884,385,N,,VBM PORTION,110,21,88,
GARDENA,2500018A,884,385,N,1253,TOTAL,313,75,226,
GARDENA,2500019A,885,385,N,1420,POLLING PLACE,169,43,123,
GARDENA,2500019A,885,385,N,,VBM PORTION,113,28,70,
GARDENA,2500019A,885,385,N,1420,TOTAL,282,71,193,
GARDENA,2500020B,886,385,N,1586,POLLING PLACE,152,30,111,
GARDENA,2500020B,886,385,N,,VBM PORTION,78,16,60,
GARDENA,2500020B,886,385,N,1586,TOTAL,230,46,171,
GARDENA,2500023A,889,385,N,1530,POLLING PLACE,153,36,108,
GARDENA,2500023A,889,385,N,,VBM PORTION,111,23,84,
GARDENA,2500023A,889,385,N,1530,TOTAL,264,59,192,
GARDENA,2500026A,890,385,N,1024,POLLING PLACE,142,33,99,
GARDENA,2500026A,890,385,N,,VBM PORTION,94,25,62,
GARDENA,2500026A,890,385,N,1024,TOTAL,236,58,161,
GARDENA,2500028A,891,385,N,969,POLLING PLACE,165,51,99,
GARDENA,2500028A,891,385,N,,VBM PORTION,90,37,52,
GARDENA,2500028A,891,385,N,969,TOTAL,255,88,151,
GARDENA,2500030A,892,385,N,1269,POLLING PLACE,182,36,124,
GARDENA,2500030A,892,385,N,,VBM PORTION,189,40,133,
GARDENA,2500030A,892,385,N,1269,TOTAL,371,76,257,
GARDENA,2500031A,893,385,N,796,POLLING PLACE,119,34,80,
GARDENA,2500031A,893,385,N,,VBM PORTION,96,27,63,
GARDENA,2500031A,893,385,N,796,TOTAL,215,61,143,
GARDENA,2500033A,894,385,N,1145,POLLING PLACE,113,33,74,
GARDENA,2500033A,894,385,N,,VBM PORTION,132,39,90,
GARDENA,2500033A,894,385,N,1145,TOTAL,245,72,164,
GARDENA,2500035A,895,385,N,1378,POLLING PLACE,205,63,136,
GARDENA,2500035A,895,385,N,,VBM PORTION,152,27,120,
GARDENA,2500035A,895,385,N,1378,TOTAL,357,90,256,
GARDENA,2500036B,896,385,N,1265,POLLING PLACE,189,57,118,
GARDENA,2500036B,896,385,N,,VBM PORTION,144,40,97,
GARDENA,2500036B,896,385,N,1265,TOTAL,333,97,215,
GARDENA,2500063A,899,385,N,1001,POLLING PLACE,185,74,106,
GARDENA,2500063A,899,385,N,,VBM PORTION,94,17,71,
GARDENA,2500063A,899,385,N,1001,TOTAL,279,91,177,
GARDENA,2500064A,900,385,N,1133,POLLING PLACE,229,88,132,
GARDENA,2500064A,900,385,N,,VBM PORTION,80,21,57,
GARDENA,2500064A,900,385,N,1133,TOTAL,309,109,189,
HERMOSA BEACH,2750001A,1085,376,N,1068,POLLING PLACE,290,128,144,
HERMOSA BEACH,2750001A,1085,376,N,,VBM PORTION,159,86,68,
HERMOSA BEACH,2750001A,1085,376,N,1068,TOTAL,449,214,212,
HERMOSA BEACH,2750003A,1086,376,N,901,POLLING PLACE,311,143,145,
HERMOSA BEACH,2750003A,1086,376,N,,VBM PORTION,101,50,44,
HERMOSA BEACH,2750003A,1086,376,N,901,TOTAL,412,193,189,
HERMOSA BEACH,2750003B,1087,376,N,1013,POLLING PLACE,281,123,153,
HERMOSA BEACH,2750003B,1087,376,N,,VBM PORTION,150,84,63,
HERMOSA BEACH,2750003B,1087,376,N,1013,TOTAL,431,207,216,
HERMOSA BEACH,2750004A,1088,376,N,923,POLLING PLACE,211,91,113,
HERMOSA BEACH,2750004A,1088,376,N,,VBM PORTION,90,47,34,
HERMOSA BEACH,2750004A,1088,376,N,923,TOTAL,301,138,147,
HERMOSA BEACH,2750008A,1089,376,N,859,POLLING PLACE,188,87,91,
