LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,MIGUEL SANTIAGO,SANDRA MENDOZA,
HUNTINGTON PARK,2850001A,1098,218,N,1077,POLLING PLACE,188,128,49,
HUNTINGTON PARK,2850001A,1098,218,N,,VBM PORTION,31,15,12,
HUNTINGTON PARK,2850001A,1098,218,N,1077,TOTAL,219,143,61,
HUNTINGTON PARK,2850004A,1099,218,N,988,POLLING PLACE,102,65,35,
HUNTINGTON PARK,2850004A,1099,218,N,,VBM PORTION,50,28,17,
HUNTINGTON PARK,2850004A,1099,218,N,988,TOTAL,152,93,52,
HUNTINGTON PARK,2850006A,1101,218,N,1049,POLLING PLACE,139,84,49,
HUNTINGTON PARK,2850006A,1101,218,N,,VBM PORTION,30,18,9,
HUNTINGTON PARK,2850006A,1101,218,N,1049,TOTAL,169,102,58,
HUNTINGTON PARK,2850009A,1103,218,N,661,POLLING PLACE,77,41,31,
HUNTINGTON PARK,2850009A,1103,218,N,,VBM PORTION,10,6,3,
HUNTINGTON PARK,2850009A,1103,218,N,661,TOTAL,87,47,34,
HUNTINGTON PARK,2850010A,1104,218,N,1048,POLLING PLACE,160,87,54,
HUNTINGTON PARK,2850010A,1104,218,N,,VBM PORTION,74,45,20,
HUNTINGTON PARK,2850010A,1104,218,N,1048,TOTAL,234,132,74,
HUNTINGTON PARK,2850011A,1105,218,N,1136,POLLING PLACE,176,108,49,
HUNTINGTON PARK,2850011A,1105,218,N,,VBM PORTION,39,25,9,
HUNTINGTON PARK,2850011A,1105,218,N,1136,TOTAL,215,133,58,
HUNTINGTON PARK,2850012A,1106,218,N,1148,POLLING PLACE,173,108,44,
HUNTINGTON PARK,2850012A,1106,218,N,,VBM PORTION,41,29,8,
HUNTINGTON PARK,2850012A,1106,218,N,1148,TOTAL,214,137,52,
HUNTINGTON PARK,2850015A,1107,218,N,974,POLLING PLACE,163,101,57,
HUNTINGTON PARK,2850015A,1107,218,N,,VBM PORTION,42,20,14,
HUNTINGTON PARK,2850015A,1107,218,N,974,TOTAL,205,121,71,
HUNTINGTON PARK,2850017A,1108,218,N,942,POLLING PLACE,180,100,68,
HUNTINGTON PARK,2850017A,1108,218,N,,VBM PORTION,41,22,9,
HUNTINGTON PARK,2850017A,1108,218,N,942,TOTAL,221,122,77,
HUNTINGTON PARK,2850022A,1109,218,N,767,POLLING PLACE,125,75,40,
HUNTINGTON PARK,2850022A,1109,218,N,,VBM PORTION,50,34,11,
HUNTINGTON PARK,2850022A,1109,218,N,767,TOTAL,175,109,51,
HUNTINGTON PARK,2850025A,1110,218,N,1105,POLLING PLACE,151,89,48,
HUNTINGTON PARK,2850025A,1110,218,N,,VBM PORTION,19,11,4,
HUNTINGTON PARK,2850025A,1110,218,N,1105,TOTAL,170,100,52,
HUNTINGTON PARK,2850026A,1111,218,N,1153,POLLING PLACE,175,99,61,
HUNTINGTON PARK,2850026A,1111,218,N,,VBM PORTION,49,25,21,
HUNTINGTON PARK,2850026A,1111,218,N,1153,TOTAL,224,124,82,
HUNTINGTON PARK,2850029A,1112,218,N,967,POLLING PLACE,151,91,43,
HUNTINGTON PARK,2850029A,1112,218,N,,VBM PORTION,27,14,9,
HUNTINGTON PARK,2850029A,1112,218,N,967,TOTAL,178,105,52,
HUNTINGTON PARK,2850050A,1113,218,N,1081,POLLING PLACE,147,92,31,
HUNTINGTON PARK,2850050A,1113,218,N,,VBM PORTION,38,22,14,
HUNTINGTON PARK,2850050A,1113,218,N,1081,TOTAL,185,114,45,
VERNON,7450001A,6254,219,Y,,POLLING PLACE,,,,
VERNON,7450001A,6254,219,Y,,VBM PORTION,,,,
VERNON,7450001A,6254,219,Y,,TOTAL,,,,
VERNON,7450011A,6257,218,Y,54,POLLING PLACE,,,,
VERNON,7450011A,6257,218,Y,,VBM PORTION,12,7,4,
VERNON,7450011A,6257,218,Y,54,TOTAL,12,7,4,
LOS ANGELES,9000038A,3006,214,N,875,POLLING PLACE,176,99,64,
LOS ANGELES,9000038A,3006,214,N,,VBM PORTION,28,15,10,
LOS ANGELES,9000038A,3006,214,N,875,TOTAL,204,114,74,
LOS ANGELES,9000048A,3010,211,N,715,POLLING PLACE,128,69,46,
LOS ANGELES,9000048A,3010,211,N,,VBM PORTION,26,14,10,
LOS ANGELES,9000048A,3010,211,N,715,TOTAL,154,83,56,
LOS ANGELES,9000049A,3011,214,N,955,POLLING PLACE,176,101,62,
LOS ANGELES,9000049A,3011,214,N,,VBM PORTION,63,41,11,
LOS ANGELES,9000049A,3011,214,N,955,TOTAL,239,142,73,
LOS ANGELES,9000050A,3012,212,N,124,POLLING PLACE,29,20,6,
LOS ANGELES,9000050A,3012,212,N,,VBM PORTION,13,9,2,
LOS ANGELES,9000050A,3012,212,N,124,TOTAL,42,29,8,
LOS ANGELES,9000052A,3014,214,N,802,POLLING PLACE,103,47,43,
LOS ANGELES,9000052A,3014,214,N,,VBM PORTION,49,32,9,
LOS ANGELES,9000052A,3014,214,N,802,TOTAL,152,79,52,
LOS ANGELES,9000053A,3015,214,N,929,POLLING PLACE,178,89,81,
LOS ANGELES,9000053A,3015,214,N,,VBM PORTION,13,6,5,
LOS ANGELES,9000053A,3015,214,N,929,TOTAL,191,95,86,
LOS ANGELES,9000273B,3155,214,N,666,POLLING PLACE,124,64,52,
LOS ANGELES,9000273B,3155,214,N,,VBM PORTION,12,4,6,
LOS ANGELES,9000273B,3155,214,N,666,TOTAL,136,68,58,
LOS ANGELES,9000275B,3156,214,N,792,POLLING PLACE,141,76,62,
LOS ANGELES,9000275B,3156,214,N,,VBM PORTION,20,12,5,
LOS ANGELES,9000275B,3156,214,N,792,TOTAL,161,88,67,
LOS ANGELES,9000277A,3157,214,N,873,POLLING PLACE,174,100,61,
LOS ANGELES,9000277A,3157,214,N,,VBM PORTION,24,15,8,
LOS ANGELES,9000277A,3157,214,N,873,TOTAL,198,115,69,
LOS ANGELES,9000493B,3295,216,N,1276,POLLING PLACE,220,125,72,
LOS ANGELES,9000493B,3295,216,N,,VBM PORTION,69,38,19,
LOS ANGELES,9000493B,3295,216,N,1276,TOTAL,289,163,91,
LOS ANGELES,9000517A,3314,214,N,901,POLLING PLACE,174,99,66,
LOS ANGELES,9000517A,3314,214,N,,VBM PORTION,33,16,10,
LOS ANGELES,9000517A,3314,214,N,901,TOTAL,207,115,76,
LOS ANGELES,9000582A,3353,214,N,1041,POLLING PLACE,196,115,64,
LOS ANGELES,9000582A,3353,214,N,,VBM PORTION,40,26,13,
LOS ANGELES,9000582A,3353,214,N,1041,TOTAL,236,141,77,
LOS ANGELES,9000585A,3354,214,N,679,POLLING PLACE,91,48,31,
LOS ANGELES,9000585A,3354,214,N,,VBM PORTION,17,12,5,
LOS ANGELES,9000585A,3354,214,N,679,TOTAL,108,60,36,
LOS ANGELES,9000608A,3369,210,N,1140,POLLING PLACE,169,90,62,
LOS ANGELES,9000608A,3369,210,N,,VBM PORTION,54,27,18,
LOS ANGELES,9000608A,3369,210,N,1140,TOTAL,223,117,80,
LOS ANGELES,9000618A,3375,216,N,540,POLLING PLACE,90,51,21,
LOS ANGELES,9000618A,3375,216,N,,VBM PORTION,14,3,8,
LOS ANGELES,9000618A,3375,216,N,540,TOTAL,104,54,29,
LOS ANGELES,9000731A,3422,214,N,1171,POLLING PLACE,147,70,63,
LOS ANGELES,9000731A,3422,214,N,,VBM PORTION,61,28,24,
LOS ANGELES,9000731A,3422,214,N,1171,TOTAL,208,98,87,
LOS ANGELES,9000884A,3478,214,N,1264,POLLING PLACE,206,107,58,
LOS ANGELES,9000884A,3478,214,N,,VBM PORTION,107,53,35,
LOS ANGELES,9000884A,3478,214,N,1264,TOTAL,313,160,93,
LOS ANGELES,9000957C,3510,214,N,1195,POLLING PLACE,169,96,49,
