LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,ROBERT N HATHAWAY,ROBERT A SINGER,HO JEONG LIM,MJ NOOR,ZINA B GLEASON,MARILYN BUCHI,JOANNE FAWLEY,
EAST WHITTIER,2050001F,6071,264,Y,33,POLLING PLACE,,,,,,,,,
EAST WHITTIER,2050001F,6071,264,Y,,VBM PORTION,4,4,3,,1,,4,,
EAST WHITTIER,2050001F,6071,264,Y,33,TOTAL,4,4,3,,1,,4,,
EAST WHITTIER,2050048A,794,264,N,456,POLLING PLACE,122,51,29,9,30,25,29,33,
EAST WHITTIER,2050048A,794,264,N,,VBM PORTION,53,22,19,4,13,10,25,14,
EAST WHITTIER,2050048A,794,264,N,456,TOTAL,175,73,48,13,43,35,54,47,
LA HABRA HEIGHTS,3230001A,1195,264,N,508,POLLING PLACE,109,46,41,15,24,16,35,27,
LA HABRA HEIGHTS,3230001A,1195,264,N,,VBM PORTION,59,23,26,7,10,10,21,7,
LA HABRA HEIGHTS,3230001A,1195,264,N,508,TOTAL,168,69,67,22,34,26,56,34,
LA HABRA HEIGHTS,3230003A,1196,264,N,894,POLLING PLACE,235,94,94,28,51,49,77,50,
LA HABRA HEIGHTS,3230003A,1196,264,N,,VBM PORTION,126,39,32,7,28,12,38,30,
LA HABRA HEIGHTS,3230003A,1196,264,N,894,TOTAL,361,133,126,35,79,61,115,80,
LA HABRA HEIGHTS,3230004A,1197,264,N,994,POLLING PLACE,210,86,75,18,44,33,64,49,
LA HABRA HEIGHTS,3230004A,1197,264,N,,VBM PORTION,171,65,67,17,32,22,69,25,
LA HABRA HEIGHTS,3230004A,1197,264,N,994,TOTAL,381,151,142,35,76,55,133,74,
LA HABRA HEIGHTS,3230006A,1198,264,N,857,POLLING PLACE,170,57,48,15,37,40,45,51,
LA HABRA HEIGHTS,3230006A,1198,264,N,,VBM PORTION,111,53,43,8,13,16,46,22,
LA HABRA HEIGHTS,3230006A,1198,264,N,857,TOTAL,281,110,91,23,50,56,91,73,
LA MIRADA,3300012A,6116,257,Y,,POLLING PLACE,,,,,,,,,
LA MIRADA,3300012A,6116,257,Y,,VBM PORTION,,,,,,,,,
LA MIRADA,3300012A,6116,257,Y,,TOTAL,,,,,,,,,
SOUTH WHITTIER,6700014B,2606,257,N,736,POLLING PLACE,122,19,31,18,26,21,28,40,
SOUTH WHITTIER,6700014B,2606,257,N,,VBM PORTION,48,25,19,4,9,3,20,17,
SOUTH WHITTIER,6700014B,2606,257,N,736,TOTAL,170,44,50,22,35,24,48,57,
SOUTH WHITTIER,6700016A,2608,257,N,1041,POLLING PLACE,235,85,70,22,47,37,63,70,
SOUTH WHITTIER,6700016A,2608,257,N,,VBM PORTION,76,27,21,6,12,15,18,23,
SOUTH WHITTIER,6700016A,2608,257,N,1041,TOTAL,311,112,91,28,59,52,81,93,
SOUTH WHITTIER,6700017A,2609,257,N,1247,POLLING PLACE,237,96,73,31,45,42,82,76,
SOUTH WHITTIER,6700017A,2609,257,N,,VBM PORTION,80,38,30,8,15,15,34,20,
SOUTH WHITTIER,6700017A,2609,257,N,1247,TOTAL,317,134,103,39,60,57,116,96,
SOUTH WHITTIER,6700021A,2611,257,N,1211,POLLING PLACE,288,100,109,28,58,48,79,93,
SOUTH WHITTIER,6700021A,2611,257,N,,VBM PORTION,82,34,30,5,20,11,31,21,
SOUTH WHITTIER,6700021A,2611,257,N,1211,TOTAL,370,134,139,33,78,59,110,114,
WHITTIER,7800054A,2942,256,N,824,POLLING PLACE,148,70,53,14,36,29,52,40,
WHITTIER,7800054A,2942,256,N,,VBM PORTION,54,22,21,4,16,13,16,12,
WHITTIER,7800054A,2942,256,N,824,TOTAL,202,92,74,18,52,42,68,52,
WHITTIER,7800079A,2951,256,N,1064,POLLING PLACE,262,95,86,32,47,41,77,77,
WHITTIER,7800079A,2951,256,N,,VBM PORTION,66,31,24,7,10,8,32,25,
WHITTIER,7800079A,2951,256,N,1064,TOTAL,328,126,110,39,57,49,109,102,
WHITTIER,7800082A,2952,256,N,1120,POLLING PLACE,276,112,112,34,57,50,93,78,
WHITTIER,7800082A,2952,256,N,,VBM PORTION,104,44,41,4,6,14,39,27,
WHITTIER,7800082A,2952,256,N,1120,TOTAL,380,156,153,38,63,64,132,105,
WHITTIER,7800083A,2953,256,N,571,POLLING PLACE,145,50,49,13,36,28,49,34,
WHITTIER,7800083A,2953,256,N,,VBM PORTION,54,27,28,6,10,10,24,11,
WHITTIER,7800083A,2953,256,N,571,TOTAL,199,77,77,19,46,38,73,45,
BALLOT GROUP 256,9990256A,8256,256,N,,POLLING PLACE,,,,,,,,,
BALLOT GROUP 256,9990256A,8256,256,N,,VBM PORTION,,,,,,,,,
BALLOT GROUP 256,9990256A,8256,256,N,,TOTAL,,,,,,,,,
BALLOT GROUP 257,9990257A,8257,257,N,,POLLING PLACE,,,,,,,,,
BALLOT GROUP 257,9990257A,8257,257,N,,VBM PORTION,,,,,,,,,
BALLOT GROUP 257,9990257A,8257,257,N,,TOTAL,,,,,,,,,
BALLOT GROUP 264,9990264A,8264,264,N,,POLLING PLACE,,,,,,,,,
BALLOT GROUP 264,9990264A,8264,264,N,,VBM PORTION,,,,,,,,,
BALLOT GROUP 264,9990264A,8264,264,N,,TOTAL,,,,,,,,,
