LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,YES,NO,
EAST WHITTIER,2050001F,6071,264,Y,33,POLLING PLACE,,,,
EAST WHITTIER,2050001F,6071,264,Y,,VBM PORTION,4,3,1,
EAST WHITTIER,2050001F,6071,264,Y,33,TOTAL,4,3,1,
EAST WHITTIER,2050048A,794,264,N,456,POLLING PLACE,122,54,52,
EAST WHITTIER,2050048A,794,264,N,,VBM PORTION,53,21,24,
EAST WHITTIER,2050048A,794,264,N,456,TOTAL,175,75,76,
HACIENDA HEIGHTS,2630010A,1019,265,N,173,POLLING PLACE,14,10,3,
HACIENDA HEIGHTS,2630010A,1019,265,N,,VBM PORTION,18,10,3,
HACIENDA HEIGHTS,2630010A,1019,265,N,173,TOTAL,32,20,6,
LA HABRA HEIGHTS,3230001A,1195,264,N,508,POLLING PLACE,109,48,48,
LA HABRA HEIGHTS,3230001A,1195,264,N,,VBM PORTION,59,19,31,
LA HABRA HEIGHTS,3230001A,1195,264,N,508,TOTAL,168,67,79,
LA HABRA HEIGHTS,3230003A,1196,264,N,894,POLLING PLACE,235,80,103,
LA HABRA HEIGHTS,3230003A,1196,264,N,,VBM PORTION,126,35,55,
LA HABRA HEIGHTS,3230003A,1196,264,N,894,TOTAL,361,115,158,
LA HABRA HEIGHTS,3230004A,1197,264,N,994,POLLING PLACE,210,87,79,
LA HABRA HEIGHTS,3230004A,1197,264,N,,VBM PORTION,171,65,73,
LA HABRA HEIGHTS,3230004A,1197,264,N,994,TOTAL,381,152,152,
LA HABRA HEIGHTS,3230006A,1198,264,N,857,POLLING PLACE,170,56,87,
LA HABRA HEIGHTS,3230006A,1198,264,N,,VBM PORTION,111,44,51,
LA HABRA HEIGHTS,3230006A,1198,264,N,857,TOTAL,281,100,138,
LA MIRADA,3300012A,6116,257,Y,,POLLING PLACE,,,,
LA MIRADA,3300012A,6116,257,Y,,VBM PORTION,,,,
LA MIRADA,3300012A,6116,257,Y,,TOTAL,,,,
SOUTH WHITTIER,6700014B,2606,257,N,736,POLLING PLACE,122,56,35,
SOUTH WHITTIER,6700014B,2606,257,N,,VBM PORTION,48,24,14,
SOUTH WHITTIER,6700014B,2606,257,N,736,TOTAL,170,80,49,
SOUTH WHITTIER,6700016A,2608,257,N,1041,POLLING PLACE,235,106,94,
SOUTH WHITTIER,6700016A,2608,257,N,,VBM PORTION,76,39,24,
SOUTH WHITTIER,6700016A,2608,257,N,1041,TOTAL,311,145,118,
SOUTH WHITTIER,6700017A,2609,257,N,1247,POLLING PLACE,237,109,101,
SOUTH WHITTIER,6700017A,2609,257,N,,VBM PORTION,80,32,32,
SOUTH WHITTIER,6700017A,2609,257,N,1247,TOTAL,317,141,133,
SOUTH WHITTIER,6700021A,2611,257,N,1211,POLLING PLACE,288,132,110,
SOUTH WHITTIER,6700021A,2611,257,N,,VBM PORTION,82,38,25,
SOUTH WHITTIER,6700021A,2611,257,N,1211,TOTAL,370,170,135,
WHITTIER,7800054A,2942,256,N,824,POLLING PLACE,148,62,64,
WHITTIER,7800054A,2942,256,N,,VBM PORTION,54,22,21,
WHITTIER,7800054A,2942,256,N,824,TOTAL,202,84,85,
WHITTIER,7800079A,2951,256,N,1064,POLLING PLACE,262,112,99,
WHITTIER,7800079A,2951,256,N,,VBM PORTION,66,38,17,
WHITTIER,7800079A,2951,256,N,1064,TOTAL,328,150,116,
WHITTIER,7800082A,2952,256,N,1120,POLLING PLACE,276,120,121,
WHITTIER,7800082A,2952,256,N,,VBM PORTION,104,54,34,
WHITTIER,7800082A,2952,256,N,1120,TOTAL,380,174,155,
WHITTIER,7800083A,2953,256,N,571,POLLING PLACE,145,54,67,
WHITTIER,7800083A,2953,256,N,,VBM PORTION,54,22,24,
WHITTIER,7800083A,2953,256,N,571,TOTAL,199,76,91,
BALLOT GROUP 256,9990256A,8256,256,N,,POLLING PLACE,,,,
BALLOT GROUP 256,9990256A,8256,256,N,,VBM PORTION,,,,
BALLOT GROUP 256,9990256A,8256,256,N,,TOTAL,,,,
BALLOT GROUP 257,9990257A,8257,257,N,,POLLING PLACE,,,,
BALLOT GROUP 257,9990257A,8257,257,N,,VBM PORTION,,,,
BALLOT GROUP 257,9990257A,8257,257,N,,TOTAL,,,,
BALLOT GROUP 264,9990264A,8264,264,N,,POLLING PLACE,,,,
BALLOT GROUP 264,9990264A,8264,264,N,,VBM PORTION,,,,
BALLOT GROUP 264,9990264A,8264,264,N,,TOTAL,,,,
BALLOT GROUP 265,9990265A,8265,265,N,,POLLING PLACE,,,,
BALLOT GROUP 265,9990265A,8265,265,N,,VBM PORTION,,,,
BALLOT GROUP 265,9990265A,8265,265,N,,TOTAL,,,,
