LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,LING-LING CHANG,PHILLIP CHEN,GREGG D FRITCHLE,STEVE TYE
DIAMOND BAR,1780001A,627,122,N,1214,POLLING PLACE,92,26,19,12,31
DIAMOND BAR,1780001A,627,122,N,0,VBM PORTION,113,32,21,16,35
DIAMOND BAR,1780001A,627,122,N,1214,TOTAL,205,58,40,28,66
DIAMOND BAR,1780002A,628,122,N,1233,POLLING PLACE,118,18,19,30,48
DIAMOND BAR,1780002A,628,122,N,0,VBM PORTION,108,19,11,27,47
DIAMOND BAR,1780002A,628,122,N,1233,TOTAL,226,37,30,57,95
DIAMOND BAR,1780004A,629,122,N,1243,POLLING PLACE,89,20,17,22,28
DIAMOND BAR,1780004A,629,122,N,0,VBM PORTION,124,37,21,11,39
DIAMOND BAR,1780004A,629,122,N,1243,TOTAL,213,57,38,33,67
DIAMOND BAR,1780006A,630,122,N,1139,POLLING PLACE,78,21,13,15,28
DIAMOND BAR,1780006A,630,122,N,0,VBM PORTION,112,32,6,31,26
DIAMOND BAR,1780006A,630,122,N,1139,TOTAL,190,53,19,46,54
DIAMOND BAR,1780007B,631,122,N,1132,POLLING PLACE,96,12,14,15,50
DIAMOND BAR,1780007B,631,122,N,0,VBM PORTION,99,21,20,27,20
DIAMOND BAR,1780007B,631,122,N,1132,TOTAL,195,33,34,42,70
DIAMOND BAR,1780008A,632,122,N,1256,POLLING PLACE,85,20,7,16,39
DIAMOND BAR,1780008A,632,122,N,0,VBM PORTION,159,44,27,38,36
DIAMOND BAR,1780008A,632,122,N,1256,TOTAL,244,64,34,54,75
DIAMOND BAR,1780014A,633,122,N,1277,POLLING PLACE,93,16,4,33,37
DIAMOND BAR,1780014A,633,122,N,0,VBM PORTION,119,32,9,37,32
DIAMOND BAR,1780014A,633,122,N,1277,TOTAL,212,48,13,70,69
DIAMOND BAR,1780020A,634,122,N,1147,POLLING PLACE,108,26,18,30,31
DIAMOND BAR,1780020A,634,122,N,0,VBM PORTION,139,29,33,26,40
DIAMOND BAR,1780020A,634,122,N,1147,TOTAL,247,55,51,56,71
DIAMOND BAR,1780021A,635,122,N,1087,POLLING PLACE,87,20,20,9,37
DIAMOND BAR,1780021A,635,122,N,0,VBM PORTION,108,17,16,16,44
DIAMOND BAR,1780021A,635,122,N,1087,TOTAL,195,37,36,25,81
